W, Score Of Algorithm, Main Domain, Score Of The Main Domain
ورزشی, 2217.5539236008926, ورزش, 7337.603884098322
تیم, 1956.7013602882553, ورزش, 6478.321206446782
فوتبال, 1141.0888850009605, ورزش, 3771.4729698098895
سیاسی, 1093.4409621096881, سیاسی, 3280.260571723124
اقتصادی, 1025.0797365283738, اقتصاد, 3013.8480064722
اجتماعی, 1013.6455920903068, اجتماعی, 3494.0975736514893
جام, 926.5610823786501, ورزش, 3056.3871634679135
بازی, 922.0449208049138, ورزش, 2934.0584354689313
قهرمانی, 811.0980731209229, ورزش, 2680.8589375086294
بازیکن, 636.7558495134125, ورزش, 2113.8189233217063
اسلامی, 603.7228681297422, سیاسی, 1492.2964508103457
بازیکنان, 582.6007517434164, ورزش, 1931.0144664262073
دلار, 569.4622017948935, اقتصاد, 1730.2472220795087
مسابقات, 567.9229928385689, ورزش, 1874.6925797774986
فدراسیون, 565.7755266640248, ورزش, 1876.0355003718646
مسابقه, 528.5081276718086, ورزش, 1658.5262045406953
قیمت, 526.817250177519, اقتصاد, 1580.5138802385832
گذاری, 519.8610519985135, اقتصاد, 1573.0072993837068
آسیا, 517.4993264497788, ورزش, 1709.6452058861187
سرمایه, 516.9688230058264, اقتصاد, 1554.869001397611
مجلس, 503.3664591023145, سیاسی, 1431.4530506013712
صنایع, 498.6727314108373, اقتصاد, 1504.2965274281628
شورای, 488.137297146352, سیاسی, 1418.2534485349286
تولید, 488.02017211572144, اقتصاد, 1403.441939386959
بازار, 485.3233381913978, اقتصاد, 1410.881118881119
بازیهای, 470.54097555138594, ورزش, 1545.9549138909745
باشگاههای, 463.4317985213013, ورزش, 1536.2171350244794
رقابت, 461.69968341050253, ورزش, 1531.3958756644863
مردم, 454.05169536816885, سیاسی, 1129.0681074360293
میلیارد, 415.10949085144625, اقتصاد, 1250.359598661736
مربی, 404.98354672649424, ورزش, 1333.824541224585
شکست, 389.0003348185079, ورزش, 1258.6413215710843
باشگاه, 386.9623702179731, ورزش, 1280.709505334287
حریف, 383.49726895727514, ورزش, 1270.3790769006555
انتخابات, 375.73953760194973, سیاسی, 1174.2930083707786
ارزی, 375.23609494725713, اقتصاد, 1145.7538619272389
ریال, 372.8207211530444, اقتصاد, 1096.6058082438624
قهرمان, 372.47118060076133, ورزش, 1192.095163117841
جمهوری, 371.21292058103904, سیاسی, 819.215600160458
صنعتی, 371.0206830655473, اقتصاد, 1111.6609557304328
نفت, 368.57011079970584, اقتصاد, 1133.3799189799652
آیت, 357.88775440604076, سیاسی, 1114.628752207427
دادگاه, 353.0004768686518, اجتماعی, 1135.0222907140703
معظم, 352.14895760765904, سیاسی, 1102.7233024429815
صادرات, 347.05006402081835, اقتصاد, 1060.2339748920242
انقلاب, 340.4717299598979, سیاسی, 912.1619087325638
درصد, 334.85688578465545, اقتصاد, 942.1777341897576
افزایش, 332.4493506732044, اقتصاد, 922.5313392536332
تولیدی, 328.970755889831, اقتصاد, 993.4875518114694
آقای, 328.8171212661056, سیاسی, 913.8679023043867
گل, 323.37939137335286, ورزش, 1006.5181794753847
توسعه, 322.0386634146866, اقتصاد, 861.6617090809955
تیمی, 321.74279902286844, ورزش, 1069.1544362787827
پرسپولیس, 319.58192455305334, ورزش, 1059.7126303181642
ورزشگاه, 318.03004451383725, ورزش, 1054.6817562464123
خاتمی, 313.4991605099642, سیاسی, 973.3409109595831
مربیان, 312.88780820463865, ورزش, 1015.2827873098744
ارز, 300.6523099353393, اقتصاد, 919.0016963023561
پتروشیمی, 298.1297796040239, اقتصاد, 912.7368903418426
سهام, 291.70502402846796, اقتصاد, 889.8272510836928
گروه, 287.6881834232682, ورزش, 725.149832023544
روزنامه, 282.98217161463333, اجتماعی, 908.1314055828561
نظام, 282.8819119098643, سیاسی, 723.6730479903338
المپیک, 282.8411026773708, ورزش, 936.5725223283828
صنعت, 281.60360463795814, اقتصاد, 846.8729114420908
مصاف, 280.8550373109506, ورزش, 933.9579975516808
فروش, 276.74370281885285, اقتصاد, 790.5392087174172
میلیون, 270.6618753419888, اقتصاد, 766.7397899907959
لیگ, 268.03103839617086, ورزش, 888.2200664506563
اسلام, 266.7437052562442, سیاسی, 786.8334063526157
الله, 262.7767405458028, سیاسی, 758.2442539682539
دیدار, 262.527613969207, ورزش, 673.7088668386651
رهبری, 262.4156319381995, سیاسی, 788.9750715557553
والیبال, 259.62066598955795, ورزش, 861.8493330491378
اقتصاد, 258.5534933899125, اقتصاد, 773.3405189796563
هزار, 254.84072731716222, اقتصاد, 725.7161646536068
ایرنا, 254.8076368663501, سیاسی, 761.8817617925132
سرمربی, 251.53739475221613, ورزش, 835.7050514723486
وزیر, 249.11896601661493, ورزش, 399.681174046943
رئیس, 246.03126376887056, سیاسی, 703.3131366067664
نگهبان, 244.04645091780557, سیاسی, 768.9902406272663
میزبان, 243.8161767012428, ورزش, 809.1531152802829
دروازه, 243.30141096340398, ورزش, 805.3494833136466
خانواده, 242.68661827341262, اجتماعی, 781.5995879698118
مطبوعات, 241.82893718076616, اجتماعی, 625.6627695472151
مهاجم, 240.21455316375804, ورزش, 796.8642201588484
الاسلام, 239.09745809206453, سیاسی, 680.057290445304
پیروزی, 237.84051528407298, ورزش, 716.0822528951628
میزان, 237.1699924194594, اقتصاد, 608.0837994914468
جامعه, 237.12538613608623, ورزش, 360.79142015850744
پارس, 235.73796748497588, اقتصاد, 721.6877435587245
حریفان, 235.2360386157473, ورزش, 781.4377136995565
حجت, 234.3053320966444, سیاسی, 663.7019407149448
تاکید, 233.70696812832693, سیاسی, 518.2215532720893
ورزش, 232.84158183587476, ورزش, 745.976628011526
برتری, 231.4725175530698, ورزش, 750.3149790372912
برتر, 231.2196262422849, ورزش, 727.120160979318
دولت, 228.15494366070214, ورزش, 521.9661317262793
معامله, 228.0574317685512, اقتصاد, 692.6700759253819
بازرگانی, 226.6175883345254, اقتصاد, 685.0022399231073
