W, Score Of Algorithm
ورزشی, 0.18452312999249776
تیم, 0.15543082950646803
اجتماعی, 0.08943165822997473
سیاسی, 0.0882960885999654
فوتبال, 0.08545977240491087
اقتصادی, 0.08063946111042414
بازی, 0.06781470434332904
جام, 0.06724445749202079
قهرمانی, 0.05953007428253154
اسلامی, 0.05352524415316123
بازیکن, 0.047319800473593965
مجلس, 0.04316822440067081
بازیکنان, 0.04279914186328149
فدراسیون, 0.040864726605193136
مسابقات, 0.04081733451578107
شورای, 0.04040767449703375
مسابقه, 0.03939524478282164
دلار, 0.0380803073409306
آسیا, 0.03671692522437753
مردم, 0.03653697439662584
سرمایه, 0.03551034399674469
گذاری, 0.03544894445700808
قیمت, 0.03531003091670659
تولید, 0.035307924382438016
باشگاههای, 0.03433187673795901
بازار, 0.033948196622968885
صنایع, 0.033779391074652554
بازیهای, 0.033773444064329694
جمهوری, 0.03325146773152676
رقابت, 0.033059901768449085
دادگاه, 0.03188482892413036
گروه, 0.030051328701535235
مربی, 0.029100212428521677
میلیارد, 0.028429871021860342
حریف, 0.02775791423565188
شکست, 0.02750394802032663
باشگاه, 0.02749531976807773
قهرمان, 0.026998868284768274
انقلاب, 0.02655978356678823
ریال, 0.02638186662450881
آیت, 0.026164723087058972
ارزی, 0.026092644728189396
انتخابات, 0.026022866692685498
صنعتی, 0.025763888438822824
توسعه, 0.02564299979428797
نظام, 0.025350228192683955
معظم, 0.025223613065602613
نفت, 0.025045994725524157
افزایش, 0.025007837304042102
هنری, 0.024977898687571165
وزیر, 0.02494249965924089
آقای, 0.02491701782556377
درصد, 0.02436945228234988
دولت, 0.024230294960272736
خاتمی, 0.023744445942360026
صادرات, 0.02363927088504225
گل, 0.023337488395865247
پرسپولیس, 0.023293060118999898
فیلم, 0.02328813599461632
تیمی, 0.023213020722719357
مربیان, 0.023146539413573808
دیدار, 0.023068968818098612
روزنامه, 0.02301949315130014
ورزشگاه, 0.022833844817399584
تولیدی, 0.02259134368630944
جامعه, 0.02221864348655922
تاکید, 0.021738133577794305
مطبوعات, 0.02148399852474936
ایرنا, 0.021059544265207397
گزارش, 0.020846717576959883
ارز, 0.020704206544164383
پتروشیمی, 0.020681883265736722
رئیس, 0.020667574481173345
مصاف, 0.020531950250071263
قانون, 0.020490420470893222
المپیک, 0.02025055379388485
سهام, 0.01989167257233293
خانواده, 0.01963608638820935
لیگ, 0.019607139353958303
الاسلام, 0.01941201476503951
اسلام, 0.019394951954042616
رهبری, 0.01926152590980179
فروش, 0.019208453963803884
والیبال, 0.019090883823127847
میلیون, 0.01905924439296458
گفت, 0.01890929517220563
الله, 0.01875821468943084
سرمربی, 0.018738160277169236
صنعت, 0.018700480579551315
وزارت, 0.018664954044960824
حجت, 0.0185620435232543
میزان, 0.018508951607681623
پیروزی, 0.01825145708577458
اقتصاد, 0.018178192034749685
پرونده, 0.018143859148246122
او, 0.01812773964869574
زندگی, 0.01809649824762083
رسیدگی, 0.017990978575270322
هزار, 0.017686177491386235
ورزش, 0.01729440915299163
